Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
NDST2,212.60694233079272,348.5381364116279,143.97077548527693,209.07637403486785,0.713125168878272,5.314616205839717,2.3532207387297266e-07,5.48074350541336e-07,Upregulated
FGF1,307.67226491260163,449.5354527629845,334.39764296772876,503.1107713602376,0.5470390211684996,2.3195439197974337,0.02116542541877828,0.026322590239862994,Upregulated
SERPINA2,30.01777812439025,65.24897775668606,50.573211290098016,63.648830185233024,1.120112154762237,4.393189800722156,1.6463069420975734e-05,2.8652843856548582e-05,Upregulated
ADCY8,116.34246575609758,196.50248747151167,107.56328556998352,145.0603924068488,0.7561647307626577,4.452492464819794,1.276096213439677e-05,2.2544266280757934e-05,Upregulated
MPV17L,695.5208813780488,992.889369369186,1506.2470988193852,2082.8412903959115,0.5135385272374513,1.1562078599781376,0.24869108949752888,0.2736367861123272,Not Significant
ADCYAP1R1,453.42186683597566,441.582318025,276.0531345633063,351.79361391639,-0.038171478784081204,-0.2678719102148335,0.7890170414298969,0.8049486520971537,Not Significant
SLC12A1,54.66103911768292,92.50787665406976,66.08908774486837,76.93844795904549,0.7590525262327928,3.8304903449266545,0.00016149140249437964,0.0002507076335434162,Upregulated
SERPINA4,48.692055973170724,117.21352569651161,50.49860861979513,102.33121847096317,1.2673634134115728,5.735466257913313,2.7759638547362338e-08,8.023134361358229e-08,Upregulated
KIF21B,339.8463756219512,291.3278258550388,253.31071934292717,240.9843919036527,-0.2222385244333096,-1.4756083031618457,0.14129743341928067,0.16055651112295363,Not Significant
MRPS30,436.6558437601626,436.3063114467054,349.0512977331834,325.1585315967084,-0.0011553018739546138,-0.007821036959279897,0.9937659668400584,0.9941634732267944,Not Significant
DCDC2,43.68196503262195,84.92860633081395,45.995069132505336,66.96844935635345,0.9591967785374618,5.037123484921565,9.016337615592848e-07,1.8888616816918369e-06,Upregulated
LMCD1,74.24830202398374,305.8539389199612,72.94597374663446,304.98073591677775,2.042398203659154,6.77839942422149,8.567149520902803e-11,8.508183038429349e-10,Upregulated
ZBED2,22.008392552439027,67.54789635,26.7074026692037,55.724947280383155,1.6178128700592649,7.020488767302901,2.0439918604563492e-11,3.404233280578022e-10,Upregulated
MAN2B2,606.4594715609757,961.6670369470933,851.7509075600747,909.4672985512638,0.6651253536296677,2.9696225408174732,0.003269301300451694,0.004409017283596488,Upregulated
RBMS3,114.74458427587108,168.62831868720932,75.1950244668312,62.61057260301501,0.5554167559860839,6.00058793003742,6.803758028846074e-09,2.3865636507915892e-08,Upregulated
LOC253573,27.832634478048774,74.79497349127907,59.147235622893106,72.28299779221561,1.426131301149771,5.120943091808247,6.043348336231389e-07,1.3025924322534936e-06,Upregulated
ZNF701,68.72782238780489,142.09863683139534,82.36370069053947,131.4758190842893,1.0479157221555293,4.63565122809133,5.714903020858909e-06,1.0567816972397878e-05,Upregulated
LIX1L,270.2747748152439,377.6775512046512,319.40501825721935,391.6770971867171,0.4827266468573736,2.1631184700425172,0.03147261727468689,0.03852815262065194,Not Significant
APTX,208.8251610723577,422.3547162994186,239.56552930372524,341.323797669891,1.016156117620893,5.095714450988307,6.820256773391703e-07,1.4552079218187955e-06,Upregulated
CDH11,152.25740510182928,470.44495109999997,147.6850247769228,411.39894675171234,1.6275071119444235,6.79219314549538,7.902343702916749e-11,8.099902295489667e-10,Upregulated
HPSE,45.12252448902439,98.99649688459304,46.575724299617484,77.08094020688192,1.1335122900910521,5.837800196213898,1.6219019663000015e-08,5.038977413312179e-08,Upregulated
DLGAP2,835.2174203548781,721.9074732895349,526.6403649943438,486.9023915841821,-0.2103375927028772,-1.688632299259688,0.09252689434893753,0.10748247225577927,Not Significant
NLRP14,31.37357297609756,82.80280329825582,54.042081233682886,82.82640411669337,1.4001012109295343,5.123978346100108,5.955874233550204e-07,1.2863248236709033e-06,Upregulated
JOSD1,534.2502858536586,528.2893790436046,346.48304978540625,309.27390120100875,-0.016187338716116804,-0.13807358555969856,0.8902925251722537,0.8998268763207946,Not Significant
UNKL,268.28620400325207,308.9960494746124,201.0335494187195,109.61087685318637,0.20381481561668746,2.086264832897783,0.037960327023641945,0.04610170502725566,Not Significant
TBX6,54.35867696219512,114.7398349375969,72.18569042029846,103.00333182802095,1.0777701333528096,4.77626204747352,3.0331073199626574e-06,5.859269881997893e-06,Upregulated
MTX3,465.91675798475615,445.56493818895353,326.76827403086526,213.76051693467267,-0.06443636998080728,-0.5933472150592961,0.5534809674609914,0.5798740066829321,Not Significant
TBC1D22B,76.6291299101626,160.9550172600775,65.89078288108344,131.33136044703812,1.0706828556543093,5.49020384694197,9.786778423142241e-08,2.458326029756821e-07,Upregulated
ACE,36.84658354292682,83.42971982422482,35.3679236582891,62.46817334360495,1.1790086819815027,6.285358701713336,1.430331573752777e-09,6.682302489331934e-09,Upregulated
ANXA11,671.7832051300813,737.4602893224805,376.50830108192844,321.14387683211754,0.13456944609235286,1.4397457445539998,0.15118042659862682,0.17117735467735562,Not Significant
C10orf76,149.66313032601627,239.3936418479651,83.74814492334093,151.93065019494918,0.6776623668478663,4.995186481568889,1.099396470621405e-06,2.27270194767114e-06,Upregulated
ATP1A2,3356.2173060670734,5306.739300133721,2389.112336324855,2837.940665424314,0.6609893889521641,5.379588674812551,1.7050346692584505e-07,4.0845706013557326e-07,Upregulated
MAP1LC3A,275.9829777813008,1301.1810385474807,205.58528191096948,1433.916766664452,2.2371663936887947,6.43629890680164,6.133833646889928e-10,3.4707506676180343e-09,Upregulated
ARF6,519.8480406394309,619.6407126215116,723.6424667614168,883.2923536640429,0.25334152701065304,0.890235546234315,0.37418852214279347,0.4023699722876932,Not Significant
AKAP7,352.3799932256098,384.52081993459296,270.5934849977649,141.00319697558595,0.1259293570815397,1.2446712583633053,0.214408916586864,0.23786930373373363,Not Significant
ICK,64.89054330926831,164.06753929651163,55.09438328723928,140.98169381467227,1.338196240646282,6.145234955185651,3.1004984536234474e-09,1.2433479368004664e-08,Upregulated
SUSD4,588.9315573707316,419.60168838023253,789.9923333142301,649.7763171615793,-0.4890785095566412,-1.8079204817897248,0.0718110868475592,0.0844511888114791,Not Significant
LCMT1,1408.995159268293,878.5054377579457,979.6262376355496,308.29183848876846,-0.6815429155052718,-6.472930438064025,4.984309257780447e-10,2.962160187019936e-09,Downregulated
RGS2,1257.3287551219512,1600.7060601918604,1252.8213400588822,1478.7025164412248,0.34834623987106517,1.8146442707622072,0.07076754618060688,0.08331537721529789,Not Significant
CARD8,89.9198633252744,195.02090847819767,114.92798804463226,152.07021594500313,1.1169084113724128,5.546550902731059,7.352796366183821e-08,1.905302404955179e-07,Upregulated
UFSP1,40.64965303292683,121.809220805814,46.54977448284797,120.40580381955547,1.5832847576398288,5.892434485906399,1.2140094020184633e-08,3.906803578530787e-08,Upregulated
MST1,112.57796385731707,242.0856496877907,96.84086014592371,181.26456495011723,1.1045862462157137,6.066004483146826,4.776284698880415e-09,1.762738027333977e-08,Upregulated
XKR6,130.10731050762195,166.88161447538758,125.09231799065275,86.72589125863041,0.35912054984370567,2.7221887772805866,0.00693778410138317,0.009071835850937246,Not Significant
ALPK3,44.79262899817073,80.85317575697675,49.5943253272658,57.84674011954226,0.8520287321467426,4.856653389573785,2.0979004130215743e-06,4.157566507897748e-06,Upregulated
C16orf72,805.3612226500001,864.7284711988374,708.819022834644,628.6556417957065,0.1026110582455545,0.6748908111950633,0.5003638587154996,0.5280582364360916,Not Significant
LRRC61,66.63541305853659,93.87581131162793,80.44727222487117,70.90061128793762,0.49445809444734673,2.739235927617136,0.006598053843375628,0.008645685991415882,Not Significant
MAGEC3,34.982448607317075,76.25574806511626,47.76442000076629,65.36231979375611,1.124192494662177,5.103058262786921,6.584636073509635e-07,1.4099464743020203e-06,Upregulated
LARS2,368.4020821097561,409.65029461453486,251.63794836068632,363.2485107944681,0.15311124289740255,0.9272124960653451,0.35470339667051104,0.38270629640765663,Not Significant
AHNAK,212.00377962762198,1092.1083816775194,426.767271066164,1076.060065754584,2.36494866285753,7.137557572876824,1.010501669681503e-11,2.108704325373573e-10,Upregulated
ANXA10,22.09281785487805,66.38184151976745,52.36589496057854,62.393828964561365,1.5871676445914236,5.560176704199475,6.85935603674326e-08,1.7885577182861748e-07,Upregulated
ELAVL2,2119.4717497371953,1236.3001598906976,1905.7428626663675,1452.4722753637832,-0.7776751946637402,-4.082259370426221,5.9920887889476354e-05,9.753474820148413e-05,Downregulated
CCDC62,129.18893732560977,156.3445236369186,100.08947675235545,70.16887933668485,0.2752442116275545,2.4981875467302106,0.013121027115129504,0.016677463399088037,Not Significant
ALG14,92.82336645365854,133.17498240726744,60.1998317068445,75.71685140344134,0.5207584548323368,4.229105854784826,3.285424975963986e-05,5.504175163309791e-05,Upregulated
C12orf61,38.965129436585364,86.49471420930234,33.557057439005426,64.83391037396594,1.1504080165947237,6.247066808486631,1.7691786289941903e-09,7.894229707608333e-09,Upregulated
CYP7B1,178.1838267841464,263.80970740116277,413.1425473848397,458.6707135159295,0.5661286307661755,1.4353015963310658,0.15244116618044687,0.17252674709282645,Not Significant
FAM155A,1042.2987457621953,594.3266621418603,699.5027830973663,473.8866647254747,-0.810439793360519,-5.998755777620059,6.871248476929519e-09,2.4068616863866564e-08,Downregulated
ADAMTS16,43.01138381219513,83.41972215,91.43442633745681,83.96953103729895,0.9556537114237716,3.48348596901201,0.0005834147339223579,0.0008518752065037367,Upregulated
TBPL1,1132.9517230487804,1113.873396597093,806.1508934611487,750.9638220784333,-0.02450110046811659,-0.18483843533355662,0.8535044294278231,0.8652673603562974,Not Significant
DIABLO,816.3752554878049,1251.8953398199612,889.5827050135099,1061.6544561393557,0.6168089814822132,3.2146594950178486,0.0014764639191053104,0.0020681244814799112,Upregulated
GAS7,1927.4184404775608,1639.5289181409883,1867.4081720265972,1719.0557975622817,-0.23338833342607315,-1.213315365727109,0.22614530447430847,0.25007637722486903,Not Significant
ZNF101,92.79473743861789,132.95248993565892,84.80582495074042,80.50523501846263,0.5187912054644191,3.6532141021657307,0.00031501991205523964,0.0004739511530279653,Upregulated
SEMA3D,40.82780710914634,89.9039069622093,54.23607926536539,79.20988093999974,1.1388124423065245,5.0698792209978825,7.715878891887623e-07,1.6351430398484066e-06,Upregulated
NDUFAF1,640.6045008536586,422.3195913023256,569.4765535356709,240.90562417735103,-0.601097595451645,-4.292082065932547,2.5262047464683896e-05,4.296523679644639e-05,Downregulated
ZNF335,45.192310042276425,108.08189719515504,38.42188922599278,82.48678844787527,1.2579571205113131,6.567617663210201,2.9043731096558834e-10,1.9587875453256715e-09,Upregulated
SLC3A1,208.11750134634144,211.4704674110465,408.38603775992243,359.2086829442929,0.023057798532758706,0.0664999137788429,0.9470325541318694,0.9509616238826842,Not Significant
SPCS1,2410.8336639024387,2013.0203779244187,1972.811168099955,1392.927842692351,-0.2601702201728957,-1.8499951761374565,0.06548487985495381,0.07746678022100409,Not Significant
SIDT2,4044.164534469511,4252.026064726745,6148.383924362501,6059.612865806105,0.0723087294729766,0.25440945849980356,0.7993867205826478,0.8149736482820309,Not Significant
GYS2,16.586854381097563,63.62826048372093,23.670359857883273,64.46831013209355,1.9395630667965638,6.399542986683186,7.547756969896982e-10,4.0566490361846024e-09,Upregulated
IGF1,90.9985042228049,118.06049858372094,92.10944651540323,87.80347712889976,0.3756079690441293,2.2604741237394204,0.024645583052572848,0.03045385534312485,Not Significant
LRP1,81.83576050609754,231.0821419639535,98.72952339830063,188.83080426810233,1.4975910732950515,6.727383989538697,1.153916906320607e-10,1.0424850750299235e-09,Upregulated
PIP5K1A,78.63313995487803,154.0592877344961,57.02039913632391,104.85831478091036,0.9702673079542877,6.0941044200069765,4.0994803600439365e-09,1.5542395725825998e-08,Upregulated
C17orf50,38.94387983780488,77.49418403255815,114.61648218234366,77.29055427994189,0.9926729896286131,3.1576581090114786,0.0017841953839079776,0.0024778931912006583,Upregulated
P2RY12,114.54640552378049,200.39273801220932,194.12603157249373,290.5943288985166,0.8068926450426419,2.4280035751021862,0.015883055158773633,0.020035400614707224,Upregulated
DDX21,449.8199930792682,410.75844676220925,387.423493224212,138.57497913827348,-0.13105723798481697,-1.1758671245387384,0.24075765189282256,0.2653355849224218,Not Significant
CD36,40.35821650229268,97.96262923565891,62.94991860925248,90.83058053920183,1.2793480545518556,5.17805070722946,4.588509949716334e-07,1.0125761809624016e-06,Upregulated
TAS2R13,47.6542369847561,104.94422497906977,167.53740281946224,149.68112271372695,1.1389298550356068,2.742837338553995,0.006528236446980869,0.00855943347517649,Upregulated
KLHDC7A,34.37183401951219,83.22248863197673,49.45334262497055,62.53675274627824,1.2757219597972127,6.206585741283561,2.212910787330602e-09,9.471460146800632e-09,Upregulated
BRWD3,125.26320044593494,208.08088206395345,201.34079300116005,269.21247266446846,0.7321771910590952,2.4742746705465506,0.01400995497949324,0.017759197873143735,Upregulated
RUNDC3B,1610.0658356097563,1562.1629640087208,1298.9255515065036,815.1216177395131,-0.04357469137622459,-0.3581812697318454,0.7205075147519243,0.7407464898854054,Not Significant
