Gene,Mean_Control,Mean_Disease,Std_Control,Std_Disease,Log2FC,T_Statistic,P_Value,Adj_P_Value,Regulation
ADCYAP1R1,20.830833333333334,19.16051282051282,11.916885778871368,12.91651746463825,-0.12057834349059529,-0.5130499452643167,0.6097694922355121,0.8517909154866122,Not Significant
SLC12A1,9.296249999999999,7.6917948717948725,9.486638802066281,10.913989965031814,-0.2732962103365743,-0.5947168001426321,0.5542324415484529,0.8243811415983111,Not Significant
SERPINA4,35.89083333333334,38.02051282051281,25.896175127456257,25.994165028320648,0.08316031882485414,0.31624453251433193,0.7528965346889245,0.9182742231135109,Not Significant
SNHG17,142.82520833333334,116.91666666666664,90.91537615060989,71.19731358893186,-0.28876779282511006,-1.260745760856924,0.21220145341635638,0.5702729455005083,Not Significant
RAD54L2,41.710277777777776,36.51871794871795,30.85997664246671,28.292851747552717,-0.19176188517748885,-0.6832620944913225,0.4970283139088562,0.7948571367268006,Not Significant
KIF21B,6.4675,7.623333333333335,3.1459722351520885,4.419139790867457,0.23717999468523498,1.1173846440417712,0.2682115751356954,0.6269081187857601,Not Significant
MRPS30,155.0073611111111,139.13572649572657,55.17055296070118,45.91729128717522,-0.1558427526246691,-1.233178274310669,0.22224034869290676,0.5788477410272225,Not Significant
LMCD1,342.6693055555556,202.337094017094,251.22656036692518,129.33866206733438,-0.7600532186558038,-2.9241196816557355,0.004842574228012672,0.07505434712338448,Not Significant
RPARP-AS1,14.038333333333332,14.74064102564102,6.8557674334423915,7.715980697934915,0.07042270285224124,0.36564926662788527,0.7158917540990463,0.9016772573918301,Not Significant
MAN2B2,204.24708333333334,252.95897435897436,70.82507554465295,121.20618930251113,0.3085865864061617,1.7867239068824845,0.07895122954748333,0.3536216227922252,Not Significant
RBMS3,359.7375,236.3053113553114,164.71768548917382,163.17742969531926,-0.6062904062577278,-2.9052837792182955,0.005105453366842665,0.07723478351728076,Not Significant
ZBED2,16.708333333333332,28.864358974358975,16.366502818035183,30.859710388079915,0.7886849929499855,1.7782887521544641,0.0803400628960555,0.3570122221632188,Not Significant
ZNF701,53.673958333333324,53.59820512820512,19.527675899647317,22.00894200711621,-0.002037560359543063,-0.013833384623909914,0.9890080531473907,0.9979426488193957,Not Significant
APTX,100.49861111111112,103.26931623931625,42.66539515674075,37.160396789843986,0.03923571031990718,0.2715632105382802,0.7868748496757635,0.9331472433937031,Not Significant
CDH11,284.0622916666667,463.0732692307692,178.58244427038494,222.08871196281137,0.705031185757466,3.337146445693538,0.0014456942883712468,0.03619220243953107,Upregulated
HPSE,42.69645833333334,81.5551282051282,23.604554943593936,43.16472316187173,0.9336430939042102,4.045524526718089,0.00014919797564115503,0.01023558700908736,Upregulated
RP3-406C18.2,12.60375,9.205128205128206,8.7054419823864,7.27324797922781,-0.453301065488241,-1.6700575704563427,0.10003217151713024,0.39915405906525403,Not Significant
DLGAP2,16.855625,17.262564102564102,7.52257982351048,9.402730067700862,0.03441463132486105,0.1794378019824098,0.8581886627633332,0.958547089028632,Not Significant
JOSD1,235.16375000000002,200.61256410256414,87.23783522085895,67.29624744046397,-0.22925266941635727,-1.7654156969635872,0.08249874456818557,0.36247416542231076,Not Significant
UNKL,100.70055555555557,112.9276923076923,23.522180172433256,33.93586130549966,0.1653261156968385,1.5487403818580825,0.12661711396614575,0.4485531573400943,Not Significant
TBX6,34.88270833333333,30.053589743589743,14.537222013429995,15.268537479884213,-0.21496808795436695,-1.2411708906948768,0.21929454316433258,0.576648092757641,Not Significant
TBC1D22B,24.18777777777778,19.453931623931624,18.551701086544835,15.151975318927136,-0.3142019641280189,-1.1047673903090711,0.27359905396386597,0.6323260015631055,Not Significant
